bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1.0,1001.0,2.0,0.0,0.0,2.0,41.0,41.0,2020-04-29 09:15:00
1.0,1002.0,4.0,4.0,2.0,3.0,101.0,115.0,2020-04-29 09:15:00
1.0,1003.0,2.0,5.0,5.0,2.0,115.0,108.0,2020-04-29 09:15:00
1.0,1004.0,1.0,1.0,1.0,1.0,18.0,20.0,2020-04-29 09:15:00
1.0,1051.0,1.0,3.0,1.0,1.0,49.0,26.0,2020-04-29 09:15:00
1.0,1053.0,2.0,1.0,1.0,2.0,8.0,10.0,2020-04-29 09:15:00
1.0,1054.0,3.0,0.0,0.0,3.0,18.0,26.0,2020-04-29 09:15:00
1.0,1055.0,3.0,0.0,0.0,3.0,28.0,24.0,2020-04-29 09:15:00
1.0,1056.0,2.0,5.0,5.0,2.0,10.0,27.0,2020-04-29 09:15:00
1.0,1057.0,1.0,2.0,1.0,1.0,4.0,8.0,2020-04-29 09:15:00
1.0,1058.0,2.0,3.0,3.0,2.0,18.0,24.0,2020-04-29 09:15:00
1.0,1059.0,1.0,0.0,0.0,1.0,9.0,15.0,2020-04-29 09:15:00
1.0,1060.0,4.0,1.0,0.0,4.0,59.0,73.0,2020-04-29 09:15:00
1.0,1061.0,1.0,0.0,0.0,1.0,16.0,24.0,2020-04-29 09:15:00
1.0,1062.0,3.0,0.0,0.0,3.0,23.0,37.0,2020-04-29 09:15:00
2.0,2000.0,28.0,79.0,67.0,24.0,416.0,562.0,2020-04-29 09:15:00
3.0,3101.0,5.0,6.0,5.0,5.0,55.0,93.0,2020-04-29 09:15:00
3.0,3102.0,2.0,0.0,0.0,2.0,5.0,22.0,2020-04-29 09:15:00
3.0,3103.0,1.0,0.0,0.0,1.0,29.0,19.0,2020-04-29 09:15:00
3.0,3151.0,2.0,0.0,0.0,2.0,10.0,10.0,2020-04-29 09:15:00
3.0,3153.0,3.0,9.0,7.0,3.0,30.0,44.0,2020-04-29 09:15:00
3.0,3154.0,1.0,4.0,1.0,1.0,16.0,18.0,2020-04-29 09:15:00
3.0,3155.0,2.0,2.0,2.0,2.0,13.0,10.0,2020-04-29 09:15:00
3.0,3157.0,1.0,3.0,1.0,1.0,4.0,18.0,2020-04-29 09:15:00
3.0,3158.0,1.0,4.0,4.0,1.0,5.0,11.0,2020-04-29 09:15:00
3.0,3159.0,7.0,20.0,9.0,7.0,59.0,134.0,2020-04-29 09:15:00
3.0,3241.0,16.0,35.0,26.0,16.0,166.0,345.0,2020-04-29 09:15:00
3.0,3251.0,3.0,2.0,1.0,3.0,13.0,5.0,2020-04-29 09:15:00
3.0,3252.0,4.0,3.0,2.0,4.0,21.0,54.0,2020-04-29 09:15:00
3.0,3254.0,5.0,8.0,4.0,4.0,52.0,58.0,2020-04-29 09:15:00
3.0,3255.0,1.0,0.0,0.0,1.0,3.0,11.0,2020-04-29 09:15:00
3.0,3256.0,1.0,0.0,0.0,1.0,16.0,18.0,2020-04-29 09:15:00
3.0,3257.0,1.0,2.0,0.0,1.0,0.0,23.0,2020-04-29 09:15:00
3.0,3351.0,3.0,2.0,0.0,1.0,21.0,26.0,2020-04-29 09:15:00
3.0,3352.0,2.0,1.0,0.0,2.0,9.0,9.0,2020-04-29 09:15:00
3.0,3353.0,3.0,4.0,3.0,3.0,31.0,33.0,2020-04-29 09:15:00
3.0,3354.0,1.0,0.0,0.0,1.0,20.0,5.0,2020-04-29 09:15:00
3.0,3355.0,2.0,0.0,0.0,2.0,20.0,23.0,2020-04-29 09:15:00
3.0,3356.0,2.0,0.0,0.0,2.0,8.0,8.0,2020-04-29 09:15:00
3.0,3357.0,3.0,2.0,2.0,2.0,14.0,25.0,2020-04-29 09:15:00
3.0,3358.0,3.0,1.0,1.0,3.0,17.0,25.0,2020-04-29 09:15:00
3.0,3359.0,3.0,0.0,0.0,2.0,17.0,24.0,2020-04-29 09:15:00
3.0,3360.0,2.0,2.0,1.0,2.0,23.0,5.0,2020-04-29 09:15:00
3.0,3361.0,2.0,0.0,0.0,2.0,8.0,9.0,2020-04-29 09:15:00
3.0,3401.0,1.0,2.0,2.0,1.0,14.0,13.0,2020-04-29 09:15:00
3.0,3402.0,1.0,1.0,0.0,1.0,12.0,9.0,2020-04-29 09:15:00
3.0,3403.0,4.0,9.0,7.0,3.0,116.0,81.0,2020-04-29 09:15:00
3.0,3404.0,4.0,8.0,8.0,4.0,92.0,64.0,2020-04-29 09:15:00
3.0,3405.0,1.0,0.0,0.0,1.0,5.0,28.0,2020-04-29 09:15:00
3.0,3451.0,3.0,3.0,3.0,2.0,11.0,29.0,2020-04-29 09:15:00
3.0,3452.0,3.0,0.0,0.0,3.0,20.0,22.0,2020-04-29 09:15:00
3.0,3453.0,3.0,0.0,0.0,3.0,19.0,29.0,2020-04-29 09:15:00
3.0,3454.0,6.0,6.0,4.0,6.0,44.0,67.0,2020-04-29 09:15:00
3.0,3455.0,2.0,1.0,0.0,2.0,12.0,6.0,2020-04-29 09:15:00
3.0,3456.0,1.0,4.0,4.0,1.0,13.0,17.0,2020-04-29 09:15:00
3.0,3457.0,3.0,1.0,0.0,2.0,21.0,22.0,2020-04-29 09:15:00
3.0,3458.0,1.0,1.0,1.0,1.0,8.0,7.0,2020-04-29 09:15:00
3.0,3459.0,8.0,0.0,0.0,7.0,72.0,70.0,2020-04-29 09:15:00
3.0,3460.0,3.0,1.0,0.0,3.0,45.0,25.0,2020-04-29 09:15:00
3.0,3461.0,2.0,0.0,0.0,2.0,10.0,13.0,2020-04-29 09:15:00
3.0,3462.0,1.0,0.0,0.0,1.0,6.0,7.0,2020-04-29 09:15:00
4.0,4011.0,10.0,10.0,7.0,9.0,89.0,111.0,2020-04-29 09:15:00
4.0,4012.0,1.0,4.0,3.0,1.0,8.0,38.0,2020-04-29 09:15:00
5.0,5111.0,12.0,18.0,18.0,11.0,87.0,227.0,2020-04-29 09:15:00
5.0,5112.0,13.0,15.0,9.0,9.0,81.0,193.0,2020-04-29 09:15:00
