date,total_cases_hospitalized,total_cases_ventilated,beds_vacant,beds_occupied
2020-04-28,2467.0,1748.0,13057.0,19337.0
2020-04-29,2415.0,1719.0,12895.0,19929.0
2020-04-30,2280.0,1605.0,12792.0,19899.0
2020-05-01,2189.0,1549.0,12560.0,19484.0
2020-05-02,2105.0,1508.0,12777.0,19268.0
2020-05-03,1979.0,1441.0,12803.0,18463.0
2020-05-04,1949.0,1396.0,12738.0,18596.0
2020-05-05,1937.0,1346.0,12816.0,19180.0
2020-05-06,1884.0,1311.0,12266.0,19627.0
2020-05-07,1823.0,1230.0,12255.0,19822.0
2020-05-08,1712.0,1185.0,12037.0,19860.0
2020-05-09,1650.0,1121.0,12096.0,19732.0
2020-05-10,1581.0,1073.0,12265.0,19165.0
2020-05-11,1576.0,1063.0,12356.0,18779.0
2020-05-12,1539.0,1020.0,12143.0,19468.0
2020-05-13,1465.0,974.0,12127.0,20183.0
2020-05-14,1329.0,892.0,12205.0,20297.0
2020-05-15,1294.0,838.0,12076.0,20388.0
2020-05-16,1203.0,821.0,12041.0,20498.0
2020-05-17,1166.0,797.0,12292.0,19944.0
2020-05-18,1133.0,747.0,12583.0,19450.0
2020-05-19,1115.0,716.0,12205.0,19972.0
2020-05-20,1045.0,672.0,11879.0,20372.0
2020-05-21,1016.0,651.0,11951.0,20611.0
2020-05-22,965.0,597.0,12190.0,20061.0
2020-05-23,919.0,578.0,12320.0,20006.0
2020-05-24,889.0,562.0,12651.0,19512.0
2020-05-25,873.0,547.0,12635.0,19394.0
2020-05-26,821.0,525.0,12179.0,20224.0
2020-05-27,763.0,482.0,11883.0,20633.0
2020-05-28,744.0,451.0,11746.0,20771.0
2020-05-29,729.0,426.0,11755.0,20662.0
2020-05-30,720.0,421.0,11859.0,20553.0
2020-05-31,702.0,410.0,12300.0,19840.0
2020-06-01,677.0,385.0,12253.0,19316.0
2020-06-02,689.0,378.0,12294.0,19632.0
2020-06-03,632.0,360.0,11818.0,20517.0
2020-06-04,600.0,341.0,11450.0,20953.0
2020-06-05,592.0,340.0,11350.0,21054.0
2020-06-06,566.0,336.0,11591.0,20731.0
2020-06-07,567.0,332.0,12073.0,20004.0
2020-06-08,545.0,319.0,12201.0,19851.0
2020-06-09,525.0,318.0,11537.0,20853.0
2020-06-10,492.0,290.0,11427.0,21041.0
2020-06-11,456.0,281.0,11451.0,20961.0
2020-06-12,447.0,274.0,11607.0,20296.0
2020-06-13,440.0,262.0,11640.0,20065.0
2020-06-14,422.0,256.0,11884.0,19665.0
2020-06-15,425.0,262.0,11854.0,19500.0
2020-06-16,419.0,258.0,11339.0,20409.0
2020-06-17,406.0,252.0,10998.0,20713.0
2020-06-18,396.0,240.0,10932.0,20705.0
2020-06-19,376.0,227.0,10520.0,20239.0
2020-06-20,361.0,219.0,10264.0,19102.0
2020-06-21,342.0,198.0,10389.0,17906.0
2020-06-22,349.0,201.0,10289.0,17602.0
2020-06-23,337.0,194.0,9604.0,17964.0
2020-06-24,331.0,182.0,9436.0,17718.0
2020-06-25,360.0,196.0,11434.0,21073.0
2020-06-26,364.0,198.0,11221.0,21220.0
2020-06-27,345.0,188.0,11402.0,20996.0
2020-06-28,338.0,189.0,11831.0,20478.0
2020-06-29,332.0,183.0,12000.0,20387.0
2020-06-30,337.0,174.0,11505.0,20997.0
2020-07-01,329.0,170.0,11208.0,21406.0
2020-07-02,327.0,160.0,11113.0,21530.0
2020-07-03,318.0,161.0,11049.0,21312.0
2020-07-04,322.0,159.0,11494.0,20915.0
2020-07-05,298.0,149.0,12004.0,20318.0
2020-07-06,305.0,145.0,12025.0,20238.0
2020-07-07,298.0,144.0,11605.0,20967.0
2020-07-08,292.0,141.0,11298.0,21081.0
2020-07-09,275.0,133.0,11192.0,21088.0
2020-07-10,278.0,132.0,11090.0,21208.0
2020-07-11,252.0,127.0,11345.0,21048.0
2020-07-12,253.0,125.0,11787.0,20276.0
2020-07-13,264.0,130.0,11983.0,20187.0
2020-07-14,266.0,125.0,11352.0,21009.0
2020-07-15,248.0,120.0,11031.0,21489.0
2020-07-16,255.0,121.0,10981.0,21533.0
2020-07-17,249.0,118.0,11012.0,21571.0
2020-07-18,247.0,116.0,11261.0,21145.0
2020-07-19,249.0,116.0,11663.0,20535.0
2020-07-20,246.0,120.0,11729.0,20721.0
2020-07-21,254.0,122.0,11400.0,21237.0
2020-07-22,250.0,127.0,11259.0,21522.0
2020-07-23,239.0,127.0,11375.0,21589.0
2020-07-24,237.0,119.0,11260.0,21734.0
2020-07-25,249.0,126.0,11464.0,21407.0
2020-07-26,269.0,130.0,11903.0,20807.0
2020-07-27,261.0,133.0,12046.0,20724.0
2020-07-28,258.0,126.0,11568.0,21439.0
2020-07-29,261.0,130.0,11455.0,21765.0
2020-07-30,266.0,132.0,11669.0,21698.0
2020-07-31,265.0,125.0,11642.0,21693.0
2020-08-01,261.0,122.0,11852.0,21473.0
2020-08-02,272.0,129.0,12201.0,20915.0
2020-08-03,270.0,130.0,12244.0,20785.0
2020-08-04,224.0,127.0,8542.0,19547.0
2020-08-05,239.0,140.0,9048.0,21340.0
2020-08-06,236.0,131.0,9078.0,21449.0
2020-08-07,230.0,134.0,8980.0,21442.0
2020-08-08,231.0,135.0,9140.0,21173.0
2020-08-09,236.0,136.0,9497.0,20656.0
2020-08-10,230.0,132.0,9450.0,20781.0
2020-08-11,234.0,139.0,8828.0,21562.0
2020-08-12,224.0,137.0,8719.0,21708.0
2020-08-13,224.0,137.0,8563.0,21826.0
2020-08-14,230.0,133.0,8517.0,21962.0
2020-08-15,227.0,134.0,8732.0,21629.0
2020-08-16,224.0,134.0,9163.0,21049.0
2020-08-17,228.0,134.0,9242.0,21078.0
2020-08-18,227.0,135.0,8864.0,21701.0
2020-08-19,228.0,142.0,8737.0,21888.0
2020-08-20,231.0,137.0,8651.0,22011.0
2020-08-21,236.0,144.0,8638.0,21969.0
2020-08-22,233.0,140.0,8910.0,21538.0
2020-08-23,245.0,136.0,9332.0,20942.0
